"","zip","Freq","city","state","latitude","longitude"
"1","",2,NA,NA,NA,NA
"2","00693",1,"Vega Baja","PR",18.440667,-66.3921
"3","01453",1,"Leominster","MA",42.526523,-71.75358
"4","01572",1,NA,NA,NA,NA
"5","02072",1,"Stoughton","MA",42.125432,-71.10627
"6","02720",1,"Fall River","MA",41.716952,-71.13986
"7","02807",1,"Block Island","RI",41.171389,-71.58358
"8","02812",1,"Carolina","RI",41.46603,-71.66408
"9","02813",1,"Charlestown","RI",41.385256,-71.66813
"10","02832",1,"Hope Valley","RI",41.511414,-71.72737
"11","02840",1,"Newport","RI",41.488002,-71.31262
"12","02842",1,"Middletown","RI",41.511739,-71.28658
"13","02852",1,"North Kingstown","RI",41.589701,-71.454
"14","02871",2,"Portsmouth","RI",41.603929,-71.26099
"15","02878",1,"Tiverton","RI",41.629413,-71.18724
"16","02879",5,"Wakefield","RI",41.423601,-71.52322
"17","02882",1,"Narragansett","RI",41.432452,-71.46352
"18","02891",1,"Westerly","RI",41.354881,-71.80387
"19","06320",1,"New London","CT",41.352498,-72.10338
"20","06339",1,"Ledyard","CT",41.449482,-71.98233
"21","06340",1,"Groton","CT",41.345331,-72.04524
"22","06351",1,"Jewett City","CT",41.604341,-71.97599
"23","06355",1,"Mystic","CT",41.360798,-71.97281
"24","06357",1,"Niantic","CT",41.319649,-72.21064
"25","06359",2,"North Stonington","CT",41.456189,-71.86813
"26","06360",2,"Norwich","CT",41.533848,-72.06232
"27","06365",1,"Preston","CT",41.509586,-71.96621
"28","06370",1,"Oakdale","CT",41.464274,-72.19551
"29","06371",2,"Old Lyme","CT",41.339421,-72.31008
"30","06378",1,"Stonington","CT",41.351307,-71.91317
"31","06379",1,"Pawcatuck","CT",41.375701,-71.84876
"32","06382",1,"Uncasville","CT",41.457198,-72.11459
"33","06385",1,"Waterford","CT",41.347948,-72.14762
"34","06388",1,"West Mystic","CT",41.344098,-71.976467
"35","06401",1,"Ansonia","CT",41.34269,-73.07446
"36","06405",1,"Branford","CT",41.277763,-72.80542
"37","06413",1,"Clinton","CT",41.288599,-72.52728
"38","06418",1,"Derby","CT",41.323005,-73.08433
"39","06430",1,"Fairfield","CT",41.163445,-73.2629
"40","06437",1,"Guilford","CT",41.31353,-72.69791
"41","06443",1,"Madison","CT",41.298648,-72.60938
"42","06450",1,"Meriden","CT",41.532048,-72.78145
"43","06457",1,"Middletown","CT",41.553672,-72.6632
"44","06460",3,"Milford","CT",41.21953,-73.0554
"45","06461",1,"Milford","CT",41.23,-73.08
"46","06468",1,"Monroe","CT",41.336046,-73.22241
"47","06472",1,"Northford","CT",41.399873,-72.77975
"48","06475",1,"Old Saybrook","CT",41.289348,-72.38285
"49","06477",1,"Orange","CT",41.279547,-73.02541
"50","06483",1,"Seymour","CT",41.386584,-73.0792
"51","06484",1,"Shelton","CT",41.306396,-73.1292
"52","06498",1,"Westbrook","CT",41.289499,-72.46087
"53","06511",2,"New Haven","CT",41.317197,-72.92798
"54","06512",2,"East Haven","CT",41.276497,-72.87412
